                                                                                                                                                                                      COMMENT,                 LABEL
To all these social media activists apprentice wizards who will be according to the direction of the feeder. Take advantage of this new year's opportunity to change your mindset and work to unite the cameroonians you have soured with tribal hatred.Repent the judgment of everything is close.,Highly-Offensive
"This will be one of the few times I'll give an expression to our dear NOMM GUI, right Leon Messi, LOL.
Thankfully I didn't even have to get out of my close family to find answers. How generous I am right now, let me share with you. They have to leave, they didn't know that's how I was going to do it, go with it!

According to my uncle Raymond Epote and I agree with him at 150 %, A part of the Cameroonian people are willing to give in the casuistry by asking with a bad faith nauseous the question of "" who is indigenous?"" A Cameroonian who would go Would it be right, after fifty years or even a hundred years, to ask this charming people who had once welcomed them with open arms "" the question of who is indigenous?"" Why some devious minds want - they absolutely give in a shameless way in a sewn with white thread?>>

My nephew's nephew Jacques Eyoum Madiba answered this question with his usual care: "" elections in Cameroon is closely linked to the migration movements of which the periods are known. These migration movements fixed each other at a specific location and preceded the settlement. Thus, every tribe is indigenous where white people found it and any idea contrary to it is simple math.

Finally, thank you to Joseph Antoine Bell who broke the nail: "" One word, about a political issue of the hour in Cameroon: how can we scream at the scandal today against a law that will remove the posts at the head of the communities local, after accepting and defending for almost 60 years the principle of regional balance, including in the administration contests?
How can we explain why some did not see the charge of discrimination when English speakers were given the right to run their business and not to the rest of the regions?
Our Southwest compatriots had lit the first wick by saying clearly that they no longer wanted North-West citizens in their city council. Elders such as MM Kadji, Fotso, Sohaing had shown the way by taking town halls in the West although living in Douala for 50 years. If they were applauded for this how and why when the law comes to register it in the marble

One thing is for sure, an African proverb says: "" A piece of wood can take a long time in the water, it will never become caïman>>.

SO, I REST MY CASE, as the Americans say. What we're going to do is well recorded in the screenshot below. Thanks to my charming charm Regine Mathio. YOU WILL FINALLY KNOW WHO PUT THE WATER IN Coco!!",Moderate
"Cameroon, February 2008-29, 25, the draft constitutional modification to allow president paul biya to remain in power leads to a bloody repression in camera of "" Apprentice Wizards 🤔 🤔

Modification of article 6, article 2 of the 1996 Constitution, which limits to two terms the possibility for a president of the republic to remain in power on a continuous basis.

Following the call for the strike of the main carrier s' unions against rising fuel prices, many young people - driven by the perspective of extension of the bad governance of the existing regime - took over the streets of the main cities From South Cameroon on February 2008, 25, with socio-economic, civic and political claims. In the face of the scale of the social movement, transformed into riots with the first death by bullet, the authorities have decided to deploy in numbers of military members on the ground with disproportionate means to contain people, certainly furious, but with their bare hands.

"" the defence and security forces went to bloody repression for four days, with excessive use of deadly force, causing the death of at least 139 people according to the National Human Rights Observatory [2 ], including several extra-court performances "" reminds clément boursin, responsible Africa at the 40 dead according to the authorities including a police officer. Nearly 3 young people, considered to be ""Wizards Apprentice"", have been arrested. Many of them have been ill-treated and even tortured during their arrest and arrest.

From Massacre in camera to silent impunity
These events went relatively unnoticed on the international media scene. In the face of the self-indulgent silence of the international community and the lack of pressure, the cameroonian authorities have not carried out any independent and impartially investigation to establish the truth about these four days of violence. "" no part of the security forces believed to have committed serious human rights violations has been the subject of penalties or judicial action in ten years says clément boursin, Africa manager at the

For several years, various united nations bodies (Human Rights Council, committee against torture, human rights committee) have been concerned about this impunity. The Cameroonian authorities have, each time, claimed that the law forces had been acting in a state of "" Self-Defence "" in the face of people who had "" acquired weapons of war by attacking police and gendarmerie units ""[ 3]. although requested several times, the administrative report of the cameroonian authorities on the subject has never been sent to the united nations or made public.

A new repression that turns into a low intensity conflict
The same repression took place, from October 2016 and for more than a year, on young cameroonian speakers who walked peacefully against the ""francophonisation"" of their regions. On October 2017, 1, several dozens of protesters - considered ""criminals being manipulated"" by the authorities - were shot dead. Once again the ""Self-Defence"" has been explained by the regime.

After a year of continuous repression, of self-silence of the international community, cameroonian speakers, minority speakers, decided to take the maquis and weapons to fight Paul Biya's regime and to tackle the forces of order and symbols of The State. Today, these English-speaking regions of North-West and South-West Cameroon have turned into a low-intensity conflict, where abuse is committed by all parties to the conflict.

"" all this is an immense waste. Instead of developing harmoniously the country and especially the surrounding regions, Paul Biya's regime has been fighting over the last decade to strengthen its hold over the country, especially through the repression of any protest, for the sole purpose of keeping itself in power and The International Community has been passive "" says clément boursin, Africa manager at the

Ten years after the bloody repression in camera of February 2008, the finding is bitter.

As long as Cameroon is the subject of leniency from the international community - especially its western allies like France and the united states - for its abuse, Paul Biya's regime will have the free field to kill and punish in all Impunity its citizens.",Highly Offensive
"Well done my President my beloved national grandpa.
Too bad for the of players who thought they could make you loose. The marabout cheated on them. They don't ride non-starters horses. Bye-bye to the apprentice wizards. Cameroon's political atmosphere will be better without you Taliban.",Neutral
"Cameroon: The apprentices apprentices ' information did not go unnoticed last week in a certain press that thought it should, see networks of Marafa Hamidou Yaya, named after the former Secretary-General of the President of the Republic and no less former almighty minister of territorial administration and Decentralization organize the resistance with the ultimate goal of power their recently imprisoned mentor to the Yaoundé secondary prison at the top of the state.

And for this, this press, which still seems to give consistency to Marafa Hamidou Yaya thought he saw ""schemers"" on the side of the and Akono, an imagination whose fertility ended up putting the patriarchs Mvog Belinga, in blue anger barely bearable through a bunch of counter-truths debited through some posts. And for reason, figures with exemplary morality exposed to popular revenge because accused of holding secret meetings in Nnomayos in the district of Excellence with the aim of putting in place a strategy to drive President Paul Biya out of power.

Going back from the thread, what many commentators on the side of Excellence present as a cabal against the judge Laurent Ngonga Djaki, a judge at the Court of Ngoumou presented as a close to Marafa Hamidou Yaya and financial of the schemers of Nnomayos, we talk in small committee in Ngoumou, a history of strong pressure from an elite of the Mefou and Akono who would like to stand as close to the main decision-makers of the Ministry of Justice and who would like to see his loving, being held in the course of a judicial investigation in a case of fake birth certificates involving the named I and Atangana, presented as a security guard and cousin of this elite of Excellence.

According to some sources claiming to have a perfect knowledge of this case, it is for having decided not to give in to the pressure of this elite that Judge Laurent Ngonga Djaki is today treated with all the names of birds and hair by a certain press . Other commentators who remember that this elite never had much respect for his brothers in the village, whom he had been imprisoned by arms at the first encounter, thanks to his high-placed relations in the judicial community, with strong details that he Rather, it is a matter of land owned by a peaceful family that he wants to take over, using multiple schemes. With a backdrop of several million FCFA in to.

Indeed, it is whisper among the scoffers of this elite, this coveted land should be used for the construction of the of prison, after an act of expropriation for public use, a planned prison that should come to relieve the prison. from Mbalmayo or Yaoundé. In fact, this thesis is heavily credit in the halls of the prefecture where the Minister of Cadastre, Fields and Land Affairs reportedly asked the prefect David I to search in all the districts of the Mefou and Akono for hectares of land for the constitution of state land reserves. We will come back to that.",Highly -Offensive
"Wow. After the apprentice wizards, here are the apprentice communicators who inform us that the new presidential palace is at the Central Post. Cameroonian political leaders must become political entrepreneurs and not Poker players.",Highly-Offensive
"the apprentice wizards, the case is beyond me",Offensive
"Here is one of the biggest scandal Cameroon will experience in the years to come.
The picture in illustration is not a montage or a download made on a Senegalese or Togolese site. We are indeed in Cameroon where several houses have its different inscriptions engraved on the walls.
Meanwhile, a group of apprentice wizards acting as of of the people have specialized in Biya MUST GO through of steps making national and international opinion that only Paul Biya is the demon and not their aunts, uncles , brothers, sisters, cousins, cousins, husbands, wives, mothers and fathers whom Paul Biya trusted by giving them responsibility to serve the entire nation but who preferred to stolen the Republic by allowing themselves certain practices of destruction of the Republic. public goods.
The end is coming.
They sell low-cost buildings and integrate social housing built by the state of Cameroon so as not to suffer the smashing return of the state of Cameroon, which will recover all that belongs to it. And those who don't take the problem seriously have only one word in their mouth: PAUL biya out.
Don't worry about one thing Paul Biya will leave one day but national accounts will never leave because every Cameroonian will have to account for why and how they did to take the public thing at the expense of the Republic.
Corrupteurs and corrupt will face each other and the state will recover what belongs to it.
For those who did not understand the message well, if you want I add the sardine oil.",Neutral
"""We can't win a presidential election by counting on one tribe"" Maurice Kamto.
Those who have not yet integrated it sink it deep into the skull, the apprentice wizards who continue to turn the Cameroonian against each other against each other, as well as other ethnicity, from what I learned yesterday we can say that you are totally the opposite of your leader's vision...
I have heard someone who is balanced and deeply humanist who does not recognize themselves in any act of tribalism of any kind.
Notice to the hardcore of all sides you have not yet found the leader, the antichrist who will come to carry your genocidaire fight to the tops of state power. keep looking good.",Offensive
"Dear Patriot friends,
At the beginning of the year 2020 I decided to walk you in deep and reel Cameroon that our friends the sellers of illusions, the apprentice wizards and Taliban and their naughty leader aka ""Mullah Tokam"" according to someone (they know each other And can't help but react to this post; this is how you would know them) will never fail, and this because: it would hurt their sabotage strategy that consists of ignore the plethora of things well done at Country and present only the smallest failures that certainly exist but which objective should never shade the great achievements or still in progress.
Thank you to my brother @Adrien Jojo for this great work I will share with you all this beginning of the month. Reality, all reality, and nothing but reality.
Far away from photoshop images and videos and videos by these sons who are so shamelessly that they can't tell but hate lies all day long!!!

Follow my look..",Neutral
